@relation kin8nm

@attribute theta1 numeric
@attribute theta2 numeric
@attribute theta3 numeric
@attribute theta4 numeric
@attribute theta5 numeric
@attribute theta6 numeric
@attribute theta7 numeric
@attribute theta8 numeric
@attribute binaryClass {P,N}

@data
1.213119,-0.81378,1.44368,0.989514,0.994009,1.427323,-1.408915,-1.378109,P
-0.052312,1.289484,1.407457,-0.829865,-0.686694,-0.191338,-1.450986,1.07797,P
0.433221,-1.494257,-1.06618,1.137793,0.943006,1.174639,1.466444,-0.124083,P
-1.060145,-0.091455,0.35472,0.011,-0.227132,0.390498,0.729916,0.562004,P
1.260825,-0.841278,-0.96084,-0.477668,-0.371894,0.320225,-0.225476,-1.160418,N
0.639917,0.9576,-1.05111,-1.396566,1.343259,0.466997,-0.809388,-0.138671,N
1.410692,0.005042,-0.829935,-1.241579,0.662011,1.119556,-0.290643,0.412247,N
-0.099947,-0.088934,-0.049846,-0.766133,-1.108816,1.383105,0.346604,1.430129,P
0.949383,0.692594,1.048415,0.997436,0.054792,1.208833,0.859734,-0.150757,P
0.122776,0.830197,-0.489851,0.36055,0.398463,0.173298,1.372202,1.485751,P
-0.532618,1.305857,1.187953,-0.363572,-0.913546,0.354968,0.169721,-1.500458,P
-1.316765,0.378415,1.096178,-0.153948,-1.004264,0.067248,-0.071862,-0.627714,P
-1.492051,1.435822,1.164134,1.263405,1.118257,-0.740476,-1.405843,-0.514338,P
-0.710341,1.283367,-0.24694,0.027906,1.533117,-1.333297,-0.09027,1.186332,N
-0.655725,-0.625625,-0.275367,0.924539,-0.249253,0.26407,0.221605,-1.001476,P
-0.061408,0.03969,-0.534132,0.41149,-1.458334,-0.844423,-1.413021,0.848816,N
1.495742,1.060368,1.508103,1.273451,0.488992,1.494165,-1.342465,0.085029,P
-0.088582,-0.646172,0.31826,-0.783919,0.075313,-1.465657,0.115398,-0.341671,N
0.320679,0.274193,-1.131404,0.517985,-0.281069,-0.063888,1.123082,0.359858,P
-1.321714,-0.35423,0.550334,0.414294,1.022665,0.660149,0.950561,0.569212,P
0.148376,-0.22064,0.610495,1.261931,0.278188,-0.987904,1.083572,0.593283,P
-0.674908,-1.212039,0.150779,0.379906,0.821987,-0.37962,-0.216852,-0.10703,N
1.119208,-0.648007,-1.124589,1.36751,1.553585,0.296159,-0.381269,1.274584,N
-1.331767,0.847118,-1.142973,-0.15549,1.317929,1.257251,0.863178,-0.590393,P
0.840338,-0.189549,0.899706,0.488645,-0.933757,0.257024,-0.435582,1.561919,P
-1.043438,-0.171383,0.86553,0.526743,-1.40567,0.119899,-0.90777,0.031312,N
-0.692982,0.405917,1.383335,-0.035455,-0.315838,1.388156,-1.318052,-1.522538,P
-1.067013,-1.294003,-1.22438,1.010255,1.00743,1.272107,-1.12995,-1.024235,N
-1.078357,0.934751,-0.728281,-0.947631,-1.301158,-1.38136,-0.142224,-1.524631,P
-0.089794,-0.748494,-0.575664,1.041984,0.061815,-0.150806,0.387739,1.496059,N
-1.199207,-1.009501,0.922569,1.385294,-0.947749,0.661979,1.065478,-1.044887,P
1.385471,1.064478,-1.289931,0.29898,-0.948675,1.509019,0.404846,0.084672,N
0.125759,-0.695389,0.253937,1.558358,-0.794787,-0.001641,-0.43989,-0.051681,P
-0.659334,-0.670809,-1.513489,-0.140597,0.067442,0.698254,-1.071721,-1.521753,N
-1.022323,0.886349,0.264013,-0.533288,-0.611323,-1.432255,1.479147,-0.399956,N
-0.806208,-0.566925,1.332095,-0.009665,-1.503554,-1.028427,0.592068,0.948419,N
-0.251447,0.145219,1.526453,0.924267,0.746588,0.274465,1.460855,-0.35727,P
-0.631931,-0.314781,0.84498,-1.027008,0.388492,1.079425,1.040553,-1.048894,P
0.86557,-0.084982,-1.560317,-1.01249,1.162802,-0.802798,-0.675999,-1.279317,N
-1.076773,1.131808,-1.371946,1.089058,-0.634013,0.51447,-1.517411,-0.425031,N
1.39217,-0.050852,1.000654,0.87008,0.429708,1.029128,0.316717,0.478941,P
-0.374176,-0.15253,1.039654,-0.679665,-0.414822,-1.059602,1.196924,0.793534,N
0.698901,-0.025787,-0.077696,-0.303431,-0.725006,0.951824,1.086316,0.865772,P
0.009997,0.131979,1.058622,-0.95233,1.056639,0.319568,-1.222656,-0.831986,N
1.511639,0.209542,1.416716,0.611663,-0.497533,-1.151546,-0.023623,0.035075,P
0.051705,0.043085,0.622417,0.927785,0.887519,1.325428,-1.188948,-1.111129,P
-1.220198,1.568807,-0.534562,1.563186,0.244873,-0.562336,1.028236,-1.110595,P
0.447735,-0.441925,0.578442,-0.678035,0.087148,-1.271307,-0.343723,-1.564439,P
0.964518,-0.705153,-1.349663,-1.173882,0.720453,-0.892171,0.429314,-1.536417,N
0.040736,-1.41753,-1.47856,-0.226616,0.951409,0.10169,-0.764937,1.333307,N
-0.2119,1.413208,-0.162024,-1.130399,-0.38244,0.082065,-0.893748,-0.093656,P
1.161868,1.338797,0.615316,-1.40819,0.034293,0.108219,-1.260141,-0.134467,P
-0.633082,1.074242,-0.50903,1.315192,1.4485,-0.146053,1.436146,-1.178472,P
0.360204,0.050742,-0.708261,0.185517,0.740862,-1.133392,0.441688,1.164266,N
0.097989,1.450987,-0.253105,1.525593,1.535347,-1.444783,-0.141677,-1.162205,N
0.69978,-1.442004,-0.217844,-1.032831,-0.47408,-1.096649,0.153656,1.244035,P
-0.918611,-1.519833,-1.345757,-1.491985,-0.782283,0.346176,0.103114,1.195987,N
-1.311468,0.450697,1.323813,0.399257,-0.258273,-0.045978,-1.122498,1.043604,P
-0.425941,0.489672,0.570535,-0.125295,0.892658,0.074377,-0.563472,0.342806,N
0.906657,-1.058251,0.83925,-0.964348,-1.347244,-0.304407,-1.50973,-0.137393,P
1.45579,-1.460515,-0.483389,-0.320716,1.464043,1.494153,0.614864,-0.090837,N
0.741413,1.535254,-0.160878,0.705164,1.217806,1.474443,1.316194,0.115327,P
1.375025,1.114458,1.036053,-1.535626,0.182294,0.086362,1.311003,-0.06613,N
0.490498,0.523401,-0.908028,-1.081429,0.762573,0.077021,-1.10451,0.673476,N
0.253808,0.338076,0.632808,-1.467008,-1.125407,0.149883,0.171633,-0.055628,P
-0.53769,-1.104085,1.316262,-0.777012,0.810998,-0.466047,0.659912,1.256773,P
1.402506,1.032351,-0.673095,0.35172,-0.925555,-0.867902,1.32348,-1.490163,P
0.545406,-0.285838,0.166115,-1.126762,1.370669,-0.409772,1.245341,-0.390208,N
-0.532926,-0.582903,-0.985249,0.028095,-0.471925,-0.674001,1.150226,1.427532,N
-0.20706,-1.356587,0.258607,0.951802,0.884344,0.64126,-1.518852,0.192539,N
0.83079,1.524489,-1.556621,-0.049659,0.295765,-1.151138,1.241083,0.160818,N
-1.284182,-0.738275,1.061918,1.038256,0.922602,-1.239675,-1.287535,1.096503,P
-0.4993,1.097748,0.268687,1.56066,-0.737111,-0.178661,-0.309117,0.344779,P
-0.54121,-0.721796,1.353431,0.854425,-1.330593,0.599998,0.871559,-1.533872,P
-1.203743,-1.53872,-1.156274,0.093387,-1.41904,-0.338447,-0.948142,0.120187,N
0.543408,0.321763,0.400952,-1.238064,1.173712,1.137999,-1.268326,-0.064099,N
0.441095,1.185379,0.090814,-1.371722,0.510775,0.334245,-1.041064,0.254709,N
-0.676561,-1.314967,-0.496454,-1.524713,-1.369011,0.480848,1.504848,-1.100784,N
-1.536503,0.448707,0.169005,0.126671,0.063198,1.437163,-0.978819,-0.035917,N
-0.117686,-1.541146,0.463469,-1.03581,0.306713,-1.315122,1.501991,-0.470332,N
1.253995,0.398603,1.514285,-1.292664,-0.428246,0.99032,1.272457,-0.627613,P
-1.053332,1.440021,0.549809,1.459119,-0.1458,0.14461,1.360657,1.170922,P
-0.48382,-0.402038,1.218895,0.139246,-0.026256,-1.124427,0.90167,0.756169,P
-1.115741,0.515877,-0.359364,-0.185959,-1.467193,-1.570254,-0.671392,1.19762,N
-0.085964,-0.456837,1.456525,0.477494,-0.74829,1.258231,0.514135,0.212148,P
0.32989,-0.003371,0.518759,-1.520934,-0.721662,1.021176,-1.459099,-0.128641,P
-0.445185,-0.106843,0.861519,0.794206,0.721071,0.382152,0.190863,-0.654105,P
1.049592,1.280038,-0.046279,-0.402308,-1.228392,1.411963,0.26872,-1.110142,N
0.447858,-0.02744,1.310264,-0.890634,0.964078,-0.730246,-1.240726,-0.230564,P
-0.111007,0.62954,-0.960019,0.809303,-1.079427,0.964995,1.007822,-1.498236,N
0.418788,-0.208594,0.186793,-1.138394,0.775506,-1.369479,-1.004914,-0.985188,P
1.406724,0.181941,0.978916,-0.685219,-0.536288,-1.52014,-0.395544,1.272684,P
-0.815496,1.11536,0.11381,0.595039,-0.155475,-1.561127,-0.299976,-1.102553,N
0.720818,-0.030325,-0.427923,1.127508,0.740271,0.722836,0.565736,-1.495626,P
0.801369,-0.736245,-0.999503,-0.058526,1.022247,0.171004,-1.269496,-1.094635,N
0.597818,0.662459,-0.553834,-0.326708,-0.459987,-0.491964,1.272135,-0.368351,P
0.706561,0.138758,0.245835,0.525761,0.461891,0.232562,-0.912678,1.208343,N
-0.048445,1.042876,0.556671,-0.840298,0.120221,0.522027,1.022005,1.369038,N
-0.544775,0.672784,0.299989,-1.435528,0.502613,-0.765986,-1.384292,0.393609,P
-1.432597,0.88645,-0.339779,0.515138,-0.328123,0.31275,0.845561,-0.80759,P
-0.482729,1.128392,0.742567,-0.304502,-1.267064,0.501978,-1.229754,-1.484101,P
1.512445,-0.916544,-1.231574,-0.112133,1.3052,-1.565465,0.069966,0.965131,N
1.038129,-1.123519,0.896066,0.331848,-1.249274,0.075647,0.969412,0.913768,P
-0.569015,1.125305,-0.610734,1.042352,-1.28645,-0.938959,0.602792,-1.540182,P
-0.429216,0.609634,-1.019271,1.292445,-0.929675,-0.865396,-0.516939,0.880001,N
-0.742881,1.378122,0.222653,1.14382,1.236391,0.862712,1.443795,-0.448347,P
-0.919119,-0.864626,0.496971,0.779145,1.520758,1.151957,0.191834,1.314443,P
-0.428625,1.234283,-0.905725,0.939214,-0.615477,-0.697429,0.87539,0.158094,P
-0.229881,0.654988,-1.510665,-1.138474,0.937565,-0.39964,0.59379,-0.696736,N
0.555428,0.240543,0.603869,1.103533,-0.566267,-0.020499,-1.016968,-1.31831,P
1.398356,-0.422671,-1.253476,-0.888356,-1.360644,1.043854,1.221019,0.811518,N
-0.088756,-0.698573,0.351722,1.391283,-0.693711,1.397571,0.775367,1.526648,P
0.533707,-0.782537,-1.078719,0.420383,-0.752968,-0.711117,0.260787,0.983968,N
0.769305,-1.391299,0.106126,-0.072041,-0.797459,-1.122694,0.517491,0.201868,N
-1.090421,-0.684917,-0.767279,-1.27233,-0.856833,-0.716204,1.539813,-0.128757,N
1.340225,-0.603599,0.586066,0.765453,0.265592,1.347409,-0.810337,0.537275,P
-0.052232,-0.479615,1.12365,0.1527,-0.404443,1.308859,-0.522578,1.044112,P
-1.362317,0.438501,1.07764,-0.260339,0.937135,0.568728,0.923038,-0.553978,P
-0.533144,-0.286869,0.619371,0.724305,-1.517466,-1.259777,0.310667,0.979966,N
-0.721618,0.945565,-1.472204,-0.273321,-0.600438,1.262428,0.04684,-1.084893,N
1.457115,-1.20505,-0.153658,-0.697413,-0.758948,-0.685718,-1.298179,0.001152,P
1.018556,0.570237,-0.146756,-0.136605,-0.766371,-1.504927,-0.139523,0.515779,N
0.338666,-1.030558,-0.384128,0.580354,0.136959,-0.338222,-1.33562,1.043999,N
-0.60709,-0.997093,-0.063109,-0.634583,-0.914233,-1.354838,-1.086409,0.68879,N
0.524239,-0.890906,1.183054,0.263806,0.01878,-0.501789,-0.34579,-0.277622,P
-1.283352,-0.624401,0.447477,0.997614,1.473481,-1.527056,0.252823,-0.732477,N
0.873808,-1.382712,-0.224665,0.213662,-0.380381,-1.5609,-1.384357,1.156039,P
-0.848859,-0.876151,0.246618,0.173823,0.069505,1.400949,-0.244614,-1.206476,P
-0.808657,-0.822287,1.152035,-0.239908,-0.49603,-0.488726,1.113911,-1.406575,P
-0.565127,-0.313247,0.610245,-1.477892,1.008504,1.247281,0.747354,0.181042,N
-1.051755,0.565933,-0.910895,-1.49027,1.034759,-0.791771,0.692325,-1.422275,N
0.900951,-1.113248,-0.431856,0.955753,-0.66665,0.486318,-0.548727,0.20111,N
-0.192932,0.959383,-1.132433,0.37131,-1.471124,-0.871313,1.269488,-0.298417,P
-0.483001,-1.44469,-1.035524,1.410581,-0.851396,-1.188106,-1.418945,-1.515736,N
0.075987,0.471896,0.370612,1.173088,0.541291,-0.533617,-0.382076,0.203234,N
-1.506564,-1.371664,-0.909338,-0.550054,-0.570207,0.742148,-0.140408,0.835281,N
0.409367,-0.543828,0.60316,0.946907,1.523533,1.160952,-0.500468,-1.21792,P
0.136385,-1.228863,-0.602438,-0.63967,-1.099442,-0.316156,-1.326773,1.033157,N
-1.146693,-0.662829,0.183134,-0.411175,0.534995,-1.205788,-0.043539,0.686375,N
1.202532,-0.072585,-0.819884,0.891527,0.420653,0.735209,0.233501,-0.022328,P
1.081348,-1.003358,-0.757912,-1.494792,1.329651,0.77838,0.597538,-1.416335,N
0.100546,0.634924,0.922926,0.343654,1.289854,0.638971,-0.850472,-0.496367,P
-0.304053,-0.820814,1.568998,1.544089,-1.551013,1.215564,0.355833,-1.507949,P
1.15189,-0.68799,-0.38319,-1.193502,1.059605,0.200243,-1.101061,-0.873273,N
1.3161,1.151978,-0.009038,-0.111776,-0.902281,0.843805,-1.558922,0.425528,P
-0.254247,-0.341823,-1.103535,0.050414,-0.166751,0.680005,0.085681,-1.555974,P
-0.561426,0.954481,0.842919,-0.924015,-0.278745,-0.264617,1.196692,-0.629727,P
1.458379,0.984103,1.493225,-1.035011,-0.759892,1.071991,0.327631,0.205402,P
0.26392,-0.662477,-1.547069,-0.435765,-0.926831,-0.084168,-0.717906,-0.426096,N
-0.231926,-0.447943,1.374407,-0.84615,-1.233295,-0.888155,1.006003,1.437107,P
0.740296,-1.31835,-0.467656,0.742496,0.247836,-1.516169,-0.153564,0.885393,N
1.441411,0.153686,0.376276,0.717635,-0.37688,-0.79805,1.446474,-0.922411,P
0.973246,0.604522,0.040663,0.718334,-0.766122,-1.365384,1.240496,0.792699,P
-0.921878,0.291575,-1.442394,-0.094586,1.16785,1.330519,1.411155,-0.602293,P
0.332118,-0.377064,1.349906,-0.066733,-0.61834,0.170523,1.402647,-0.521,P
-0.704188,-0.717608,-0.708338,-0.028503,-0.047879,0.845251,-0.230425,-0.824195,N
-0.905521,-0.257643,-1.538896,-1.528415,-0.455339,-0.142128,0.831899,-0.966465,N
-1.21486,-1.088109,0.509023,0.741387,0.037312,-1.128709,-1.499837,-1.336419,N
-0.938861,-0.634088,0.601012,0.929381,-1.209503,-1.280718,0.38168,1.192261,N
0.777451,-0.827512,0.982483,0.105935,1.132622,1.174477,-0.244891,1.247098,P
0.738275,-0.168902,0.373618,-0.834644,1.075474,0.80974,-0.392645,-0.737798,N
-1.107436,1.263811,-0.639338,-0.643377,-1.229177,-0.078691,1.299536,-0.306492,N
1.268784,0.562794,-1.106068,0.12646,0.335939,0.050786,0.94571,0.997462,N
-0.687089,-0.457165,-0.884602,-1.450298,0.684172,-0.953602,1.237301,0.802826,N
0.595105,0.761621,-1.494636,0.460857,0.64952,1.213269,1.118908,-0.043968,P
-0.903552,-1.427589,-0.169732,-1.535932,-0.557636,-0.673071,-0.090987,-0.692619,P
0.46699,-1.136714,-0.124763,0.053699,-0.816104,0.569149,0.737708,-1.254352,P
1.010315,-0.734481,-1.445755,0.887479,-0.069478,-0.459273,-1.202674,1.33816,N
0.05612,-1.096433,1.423054,-0.421246,0.950477,-0.110714,-0.335956,-0.213209,P
0.723625,0.837352,0.327844,1.275436,-0.339539,-0.950411,-0.974597,1.160938,N
0.85648,-0.962701,-0.282175,1.162196,-1.496038,1.440655,0.216449,-0.5533,P
0.088449,-0.91097,1.290273,-1.40282,1.390437,0.830976,-0.102305,-0.206657,P
0.583522,1.445435,-0.79334,0.465803,-1.240544,-1.300118,-0.991437,1.321642,N
-0.800888,-0.518579,-0.749675,-0.098521,0.922525,-1.311974,-0.076946,-1.359544,N
1.192742,-0.97669,1.143758,-0.22516,1.11006,0.484784,1.104411,-1.057505,P
-0.093855,-0.409866,-0.263895,1.36004,-1.137054,-1.524121,1.31027,-1.490454,P
-0.343454,0.899858,0.637468,-0.02988,-0.155467,0.653539,-0.860268,1.000334,N
-1.332421,0.287995,1.095267,0.468596,0.875747,1.027197,-0.916514,-1.19884,P
-0.733481,-0.857568,1.556247,-0.274235,0.309774,1.041376,-0.620808,1.264862,P
0.001983,0.489106,-1.050919,-0.347343,0.750548,0.590769,-0.691741,-0.619559,N
-1.237019,-1.135565,-0.765742,-0.719472,0.971541,-1.513835,0.943954,1.456719,N
0.488505,-0.265946,1.278951,-0.177373,-1.301419,0.733736,-0.002302,0.635544,P
1.323252,0.733404,0.55936,0.262017,-1.177773,1.150812,-0.993632,0.177589,P
0.557811,-1.287552,1.517001,-0.785393,0.349944,-1.092349,0.730132,0.217971,P
0.619377,-0.600156,-0.937389,0.87623,0.443815,0.359628,0.259848,0.340872,N
-1.363209,0.831352,0.387907,-0.994396,1.063913,-0.150207,0.454175,-1.234583,N
0.182539,-1.262926,0.740774,0.45541,-0.753353,1.304899,-0.754695,0.589702,P
-1.408441,-1.399052,0.058562,1.156891,-0.983453,-0.014543,-1.543817,-0.611753,N
0.231734,0.951368,0.926539,0.550931,-0.97928,0.626893,-0.520288,0.707174,P
-0.826003,-1.070908,-0.538705,1.22514,0.039623,-0.708493,-1.431689,0.821145,N
0.071159,-0.561371,0.046859,0.92543,-0.074137,-1.00761,-0.944203,-0.036138,N
-0.970061,-0.76515,-0.987839,-0.326788,1.186569,1.422353,-1.039112,-1.03822,N
1.054874,-1.339953,0.708587,-0.814467,-0.16807,1.106711,-0.239,-0.960927,P
1.254966,1.48692,-0.549038,-0.819231,-0.46226,-0.875002,1.22438,0.621271,N
-0.438844,-0.713395,-0.828908,0.793408,-0.050581,-0.36076,0.719405,-0.957266,P
0.813536,1.428461,1.501688,-1.244283,1.254817,-0.017355,-0.948453,-0.665685,P
0.888538,0.084359,-0.680702,0.92278,0.191799,0.490865,-0.211065,-0.95791,P
-1.470532,0.9597,1.119951,-0.885868,0.294933,0.143747,-0.509251,1.061243,P
-0.321381,0.739467,-1.40557,-0.783371,-0.48724,0.066969,-1.287435,1.4827,N
-1.049887,0.07649,1.362833,0.29826,1.086497,0.862917,1.374423,0.621666,P
0.876273,0.659123,-0.214813,-1.119626,-1.330943,1.452139,-0.21094,-0.598792,N
-0.264622,0.620055,-0.679853,0.593838,-1.012014,-0.9404,-1.552518,-1.367643,N
0.999188,0.593974,-0.317982,-0.209645,-0.331312,0.053414,0.905132,1.062961,N
1.538808,-1.060197,-0.475357,1.356967,-1.459512,-0.765789,0.964152,-1.057649,P
1.162177,0.386526,-0.259135,-1.421379,-0.465264,0.489135,0.164664,-0.770535,N
1.427376,-0.466579,-1.033148,-0.439532,-0.274849,-0.660736,-0.2281,-0.731839,N
0.698008,-0.378922,-0.530467,-1.32901,-1.244791,0.543846,-0.933078,-0.680474,P
0.713877,-0.539899,0.277157,0.047189,-1.329627,1.518746,0.592303,-1.334628,P
0.390841,-1.156098,-0.803678,1.420111,-0.888516,0.130398,-0.863683,-0.127945,N
-0.201525,0.217945,1.440373,1.120407,-1.303702,-1.225682,1.386261,-1.518807,P
-0.400885,-0.091249,-0.763258,-0.027339,1.282999,-0.614388,0.82975,-1.140665,N
1.033881,-0.532834,-0.948221,-0.816417,-0.523677,0.388384,0.071733,-1.149918,N
0.286102,1.33257,0.548087,0.960146,1.296519,-0.659483,-0.763073,0.403639,N
-1.255201,0.091749,0.554338,-1.18327,0.501165,-0.392639,-0.986999,1.260102,P
-0.359845,-0.499819,-1.19708,-0.933907,0.474857,1.408457,-0.888524,1.058409,N
-0.346427,0.168637,-0.55835,-0.785059,1.268553,0.042193,-1.427253,0.976953,P
-1.020859,0.563498,-0.244089,0.210398,-1.420621,-0.862611,1.354045,-1.459463,P
-1.338654,-1.187128,0.508216,-1.269895,-0.272527,0.553686,-0.262121,0.358827,N
1.329311,0.187851,-0.410197,0.849808,0.076578,0.408092,-0.95573,-1.053822,N
-1.282191,-0.093901,-1.522524,1.034495,-1.013774,0.703765,0.013062,0.714256,P
1.545704,-1.111241,-0.791983,1.17819,1.494162,0.077996,-0.373095,0.481412,N
0.8209,0.142524,0.064848,0.375225,-1.516184,0.828619,0.01444,1.497512,P
-1.0121,1.50523,-0.238498,1.224786,-1.038267,-0.085281,0.793566,1.382511,P
1.353264,-0.838926,0.240483,1.264128,1.386054,-0.758924,1.409986,0.637093,P
-0.824243,-0.365298,-1.425414,-0.397716,0.501145,-0.371843,0.604987,1.074499,N
1.370092,-0.889119,0.854587,0.899736,0.133487,-0.945795,-1.32146,1.226255,P
-0.740331,1.127749,-0.317126,1.376601,0.418279,0.477493,1.282828,0.820958,P
1.099712,0.845224,1.347133,-1.30441,-0.868622,-1.551964,-0.262261,-0.030528,P
0.861877,-0.602278,-0.201876,-1.185968,0.046559,0.792043,-0.173875,-0.997972,N
-0.313329,-0.279553,-0.014538,0.847674,0.264055,0.936272,-0.639381,0.041808,N
-0.814421,1.378311,0.712358,-0.262143,-1.105958,-0.314046,1.307053,-1.047154,P
-0.054419,-0.827405,-0.00053,-1.321637,0.968097,-0.297334,-1.517907,-0.320451,P
-0.41787,-1.51142,0.513235,1.441346,0.50157,0.97749,1.412952,-1.135103,N
1.454824,0.483113,-0.877737,-0.116756,0.999688,1.293024,0.188068,1.22369,N
0.203366,-1.331491,0.78915,1.172861,0.518449,1.451837,0.416502,-1.453015,P
-0.076321,-0.806501,-0.554146,-1.223421,-1.204249,0.272793,0.681818,-1.219329,N
-0.957887,1.111999,1.29513,-0.319809,1.462664,1.253294,-1.209252,-0.651976,P
1.460122,0.025784,-0.853785,0.234346,0.032286,-0.262688,-0.94083,0.116004,N
1.286467,-0.189169,1.226961,-0.896454,-0.866054,-1.05591,-0.891368,-1.245672,P
1.203307,-0.074124,0.120205,0.374557,-0.774468,0.170456,1.035424,-0.429515,P
1.540916,1.408395,0.234169,-0.575407,-0.859015,-0.27315,1.093023,0.513659,P
-1.107228,-1.003971,-0.735182,-1.046978,1.287783,-0.95696,1.549118,-0.029878,N
-1.529231,-0.238526,-0.321155,-0.496279,1.340007,1.323961,-1.499184,0.489741,N
-0.414223,-0.234395,-0.397984,-0.032148,-0.575666,-0.082359,-1.214198,0.110603,N
-0.072153,0.079911,-0.472352,0.046139,0.881483,1.226853,0.758975,-0.911017,P
-0.023121,-1.536771,-0.018492,-0.522435,-0.660494,1.449027,1.229324,0.660044,P
0.96211,-1.475268,0.222913,0.19348,1.458758,0.177482,-1.000857,0.387561,N
0.406452,-1.374817,-1.418189,0.27471,0.357736,1.56071,-1.308093,1.21989,N
1.417103,-0.131896,-0.23275,-1.091319,-0.534121,-1.442473,-0.259633,0.654619,P
0.839933,1.180155,-0.54334,-1.183223,-1.435021,0.032791,0.016618,0.32223,P
-1.569966,-1.151051,0.699803,-0.143427,-0.3948,1.340694,-0.302854,-0.382071,N
-0.181977,0.216924,-0.528411,-0.973903,-0.358067,1.535138,-0.688152,-0.060155,N
1.428541,-1.555794,0.274087,-0.697181,1.253626,-0.838459,-1.565628,0.565601,P
1.43747,-0.749324,1.008081,0.620531,-0.969285,1.203755,0.474408,-0.397579,P
0.705529,0.764614,0.207947,-0.825658,1.528531,-0.351602,0.009939,0.063371,N
1.454796,-1.385709,1.506237,-0.417422,1.213203,-0.044358,0.542925,0.08353,P
-0.260571,-0.984859,0.371607,-0.44158,1.357718,-0.96612,-1.384993,-0.399025,P
-0.033986,0.534738,0.112291,-1.193538,-1.360394,1.315584,-1.515788,0.888799,P
0.560054,-0.750779,-0.819368,-0.724737,0.366192,0.485941,-0.672393,-0.227134,N
0.613968,1.442174,-1.524458,-0.694327,0.217079,-0.937911,-0.594927,-0.399014,N
-1.179692,1.230781,1.27268,1.461451,1.0657,1.037785,0.753934,1.072515,P
-0.49594,1.49573,-1.179978,-1.499304,1.006738,-0.07018,1.32486,-0.697263,N
-0.610645,-0.292804,0.978395,-0.081483,-0.368079,-1.424985,-0.694751,-0.766683,P
0.468775,-1.416208,0.786677,0.245506,-0.515281,-1.361426,0.626402,1.178656,N
-0.410452,-1.503318,-1.277105,1.300813,1.034723,-1.27329,0.46888,-1.209978,N
0.464627,1.568389,-0.940602,0.411671,-1.260851,0.341885,1.359806,-0.568636,N
-1.016831,-1.192246,-0.209543,1.16005,-1.074423,0.083471,-0.825913,-0.337563,N
0.393063,-1.001372,-0.057198,0.23875,0.04766,-1.399653,-1.558464,0.289078,P
-0.561926,-0.554481,-0.006463,0.854408,-0.079922,0.281328,1.495286,-1.502492,P
-0.665313,-1.20276,1.329566,-0.186072,1.359275,0.18191,-1.478246,-0.258023,N
-0.994357,1.356906,-0.127921,-1.421847,-0.319501,0.592413,-1.160251,-1.195252,N
1.113414,0.691852,-1.122116,1.109847,-0.870859,0.983731,-0.47498,-1.253891,N
-1.311501,0.91767,-0.415981,1.562218,0.146655,-0.640734,-0.203699,-0.342638,N
-0.989604,1.207509,-1.350137,-1.231818,-1.326826,0.569292,0.767994,-0.181115,N
-0.676056,-0.084028,-0.032325,-0.062267,-0.9424,-1.200731,-1.134699,0.208008,N
0.664073,1.452454,0.212721,-0.378799,0.992324,0.907995,-1.410946,-0.594454,N
-0.999891,1.221038,0.076699,1.533349,-0.719948,-1.186858,-1.034358,-0.720847,N
-0.789274,1.100263,1.032993,0.506973,1.24961,-1.544085,1.1174,-1.297294,P
-1.518069,0.701654,1.06431,0.695399,0.655336,1.26896,-0.294831,-0.965971,P
-1.310161,-0.837392,-0.369357,0.839994,-0.189792,-0.863777,-0.939194,0.677786,N
-0.45486,0.292108,-0.000813,-0.535998,-1.109924,-0.198905,1.467698,0.132763,P
-1.331006,-0.853454,-1.099956,-1.568661,0.28574,-0.341246,-0.189382,0.811249,N
1.064901,0.503743,1.309998,-0.234573,-1.058986,1.231837,-0.508823,0.154634,P
0.142119,-0.184189,0.853153,0.224808,-1.252244,0.390975,-0.369428,0.82859,P
0.98571,-1.202423,0.711565,-0.988936,-0.934516,-1.101866,-1.195385,-0.574175,P
1.206024,0.746494,-0.776561,1.111303,1.559772,0.626661,-0.356771,0.820105,N
0.08042,-1.197878,-1.492436,0.893165,-1.507977,-1.469514,1.044286,1.336471,N
0.732256,-1.407307,-0.89695,0.902015,-1.3408,1.08022,-0.769981,-0.315036,P
1.416215,0.448618,1.457245,-1.16231,-0.174647,-0.006335,-0.847387,-1.230744,P
-1.51674,0.095092,0.05778,-0.515897,-1.038244,0.34585,-1.191465,-0.874828,P
-0.967444,-0.861424,0.36127,0.11736,-1.359389,0.759386,-0.43271,-0.575017,P
1.057496,-1.500043,-0.841884,-0.443492,1.559367,-1.293341,0.226895,-0.779132,N
1.339414,0.055607,0.181024,1.229386,1.116652,-0.509669,-0.477592,-0.721616,N
-1.115418,1.539689,1.404773,0.031981,-0.30138,1.112319,-0.112963,1.482243,P
-0.94842,0.246305,0.945907,0.287416,-1.039119,-0.867898,-1.04753,-0.767064,N
0.344386,-0.96667,1.40154,-1.161995,-0.360559,-0.341149,-0.353169,1.056958,P
1.281997,1.488174,0.02007,-1.503625,0.210196,-0.290832,-1.236905,-1.422539,P
1.476644,1.523677,1.173143,-0.449435,-1.519649,0.309678,-0.750328,-1.08389,P
-0.620079,1.315421,0.380156,-1.258225,0.414206,-0.860483,-0.416095,1.15543,P
-1.013113,0.897536,-0.720842,-0.927277,-0.214903,-1.3862,-0.118655,1.123872,N
